Clasificación, Equipo, Puntos, PJ, PG, PE, PP, GF, GC, DF
1,Real Madrid,63,27,19,6,2,56,21,35
2,Sevilla,55,27,15,10,2,39,18,21
3,Atlético,51,28,15,6,7,52,36,16
4,Barcelona,48,26,13,9,4,48,29,19
5,Betis,46,27,14,4,9,49,35,14
6,Real Sociedad,44,27,12,8,7,28,29,-1
7,Villarreal,42,27,11,9,7,47,26,21
8,Athletic,40,27,10,10,7,32,26,6
9,Valencia,36,27,9,9,9,41,43,-2
10,Celta,35,27,9,8,10,33,31,2
11,Osasuna,35,27,9,8,10,26,31,-5
12,Espanyol,32,27,8,8,11,33,40,-7
13,Rayo Vallecano,31,26,9,4,13,28,32,-4
14,Elche,29,27,7,8,12,29,39,-10
15,Getafe,27,27,6,9,12,26,32,-6
16,Mallorca,26,27,6,8,13,26,45,-19
17,Granada,25,27,5,10,12,28,43,-15
18,Cádiz,24,28,4,12,12,24,41,-17
19,Alavés,22,27,5,7,15,21,44,-23
20,Levante,18,27,3,9,15,29,54,-25
