Clasificación,Equipo,Puntos,PJ,PG,PE,PP,GF,GC,DF
Benzema,262,109,158,122,104,95,20.470.000,-  15  10  14  -
Vinícius Júnior,205,82,103,79,102,85,18.680.000,5  10  7  6  -
Iago Aspas,202,78,113,81,89,74,17.840.000,4  2  5  20  -
Joselu,187,69,98,70,89,68,13.800.000,12  2  2  5  -
Guedes,182,70,105,75,77,64,13.530.000,10  4  -  12  -
Nabil Fekir,178,71,93,66,85,77,13.150.000,22  5  2  6  -
Raúl de Tomás,167,67,108,77,59,54,14.430.000,15  6  4  2  -
Correa,165,59,84,60,81,58,12.610.000,16  10  3  6  2
Casemiro,163,68,76,63,87,73,12.420.000,10  9  4  8  -
Muniain,162,68,97,75,65,59,9.900.000,8  16  -  5  -
googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });,googletag.cmd.push(function() {  window.adsInit && window.adsInit.then(function() {  googletag.display('div-billboard_pos2');  });  });
Parejo,160,70,94,78,66,60,14.580.000,6  7  8  5  -
Enes Ünal,160,62,99,76,61,47,9.090.000,15  3  16  2  -
Éder Militão,154,59,95,68,59,49,7.820.000,6  6  7  1  -
Memphis Depay,151,84,96,96,55,69,12.010.000,-  -  10  9  -
David García Zubiría,149,60,66,47,83,75,5.820.000,5  2  6  6  -
Kroos,146,81,78,87,68,76,13.990.000,7  -  8  -  -
Canales,146,61,78,60,68,62,12.300.000,-  10  10  -  -
Carlos Soler,146,70,89,74,57,63,10.970.000,2  10  5  15  -
Sergio Busquets,145,58,59,49,86,66,8.380.000,4  5  6  10  -
Juanmi Jiménez,144,65,95,68,49,61,11.340.000,-  0  -  2  -
